"Item_Identifier","Item_Weight","Item_Fat_Content","Item_Visibility","Item_Type","Item_MRP","Outlet_Identifier","Outlet_Establishment_Year","Outlet_Size","Outlet_Location_Type","Outlet_Type","Item_Outlet_Sales"
"DRA12",11.6,"Low Fat",0,"Soft Drinks",141.6154,"OUT045",2002,,"Tier 2","Supermarket Type1",3829.0158
"DRA24",19.35,"Regular",0.039895009,"Soft Drinks",162.4868,"OUT013",1987,"High","Tier 3","Supermarket Type1",4422.2436
"DRA24",19.35,"Regular",0.039920687,"Soft Drinks",163.3868,"OUT035",2004,"Small","Tier 2","Supermarket Type1",3439.5228
"DRA59",8.27,"Regular",0,"Soft Drinks",183.2924,"OUT017",2007,,"Tier 2","Supermarket Type1",2406.2012
"DRA59",8.27,"Regular",0.127927931,"Soft Drinks",184.8924,"OUT046",1997,"Small","Tier 1","Supermarket Type1",4442.2176
"DRB01",,"Low Fat",0.081841136,"Soft Drinks",190.053,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",569.259
"DRB13",6.115,"Regular",0.007038478,"Soft Drinks",189.253,"OUT013",1987,"High","Tier 3","Supermarket Type1",3605.307
"DRB25",12.3,"Low Fat",0.069446588,"Soft Drinks",106.3938,"OUT035",2004,"Small","Tier 2","Supermarket Type1",857.5504
"DRB25",12.3,"Low Fat",0.116261335,"Soft Drinks",107.0938,"OUT010",1998,,"Tier 3","Grocery Store",214.3876
"DRB48",,"Regular",0.024733134,"Soft Drinks",40.2822,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",1296.3126
"DRB48",16.75,"Regular",0.024848788,"Soft Drinks",39.9822,"OUT035",2004,"Small","Tier 2","Supermarket Type1",746.3618
"DRB48",16.75,"Regular",0.024994069,"Soft Drinks",37.4822,"OUT017",2007,,"Tier 2","Supermarket Type1",549.9508
"DRB48",16.75,"Regular",0.041599644,"Soft Drinks",40.9822,"OUT010",1998,,"Tier 3","Grocery Store",157.1288
"DRC13",8.26,"Regular",0.032573725,"Soft Drinks",125.073,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",985.384
"DRC24",17.85,"Low Fat",0.02492239,"Soft Drinks",153.4998,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",2922.1962
"DRC27",13.8,"Low Fat",0.058091482,"Dairy",245.1802,"OUT035",2004,"Small","Tier 2","Supermarket Type1",5650.6446
"DRC27",13.8,"Low Fat",0.097251621,"Dairy",245.7802,"OUT010",1998,,"Tier 3","Grocery Store",245.6802
"DRC49",8.67,"Low Fat",0.065424208,"Soft Drinks",145.8128,"OUT035",2004,"Small","Tier 2","Supermarket Type1",2444.8176
"DRD01",12.1,"Regular",0.061270647,"Soft Drinks",53.2614,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",386.8298
"DRD01",12.1,"Regular",0.061299601,"Soft Drinks",56.2614,"OUT045",2002,,"Tier 2","Supermarket Type1",552.614
"DRD01",12.1,"Regular",0.061424738,"Soft Drinks",56.7614,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",1049.9666
"DRD12",6.96,"Low Fat",0.077178965,"Soft Drinks",93.1146,"OUT035",2004,"Small","Tier 2","Supermarket Type1",2189.1504
"DRD12",6.96,"Low Fat",0.077350112,"Soft Drinks",91.4146,"OUT045",2002,,"Tier 2","Supermarket Type1",638.5022
"DRD13",15,"Low Fat",0.049038621,"Soft Drinks",65.4168,"OUT013",1987,"High","Tier 3","Supermarket Type1",1661.8368
"DRD13",15,"Low Fat",0.049357077,"Soft Drinks",62.6168,"OUT017",2007,,"Tier 2","Supermarket Type1",958.752
"DRD15",,"Low Fat",0.099442329,"Dairy",233.1642,"OUT019",1985,"Small","Tier 1","Grocery Store",697.0926
"DRD24",13.85,"Low Fat",0.030769458,"Soft Drinks",141.7154,"OUT013",1987,"High","Tier 3","Supermarket Type1",2978.1234
"DRD24",13.85,"Low Fat",0.030795085,"Soft Drinks",143.3154,"OUT046",1997,"Small","Tier 1","Supermarket Type1",1985.4156
"DRD24",13.85,"Low Fat",0.030842963,"Soft Drinks",143.1154,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",2552.6772
"DRD25",6.135,"Low Fat",0,"Soft Drinks",114.286,"OUT046",1997,"Small","Tier 1","Supermarket Type1",2376.906
"DRD25",6.135,"Low Fat",0.079094835,"Soft Drinks",114.386,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",1018.674
"DRD25",6.135,"Low Fat",0.079132212,"Soft Drinks",112.686,"OUT045",2002,,"Tier 2","Supermarket Type1",2942.836
"DRD27",18.75,"Low Fat",0.023820082,"Dairy",97.6042,"OUT013",1987,"High","Tier 3","Supermarket Type1",1488.063
