"Item_Identifier","Item_Weight","Item_Fat_Content","Item_Visibility","Item_Type","Item_MRP","Outlet_Identifier","Outlet_Establishment_Year","Outlet_Size","Outlet_Location_Type","Outlet_Type","Item_Outlet_Sales"
"DRA12",11.6,"LF",0,"Soft Drinks",141.9154,"OUT035",2004,"Small","Tier 2","Supermarket Type1",992.7078
"DRA12",11.6,"Low Fat",0.040911824,"Soft Drinks",142.3154,"OUT013",1987,"High","Tier 3","Supermarket Type1",2552.6772
"DRA12",11.6,"Low Fat",0.041112694,"Soft Drinks",142.0154,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",850.8924
"DRA12",11.6,"Low Fat",0.041177505,"Soft Drinks",140.3154,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",2552.6772
"DRA12",11.6,"Low Fat",0.068535039,"Soft Drinks",143.0154,"OUT010",1998,"Medium","Tier 3","Grocery Store",283.6308
"DRA24",12.857645184136201,"Regular",0.039734882,"Soft Drinks",165.7868,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",4913.604
"DRA24",19.35,"Regular",0.039990314,"Soft Drinks",165.0868,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",982.7208
"DRA24",19.35,"Regular",0.040154087,"Soft Drinks",164.6868,"OUT017",2007,"Small","Tier 2","Supermarket Type1",1146.5076
"DRA24",19.35,"Regular",0.066831682,"Soft Drinks",163.8868,"OUT010",1998,"Small","Tier 3","Grocery Store",327.5736
"DRA24",12.857645184136201,"Regular",0.069909188,"Soft Drinks",163.2868,"OUT019",1985,"Small","Tier 1","Grocery Store",491.3604
"DRA59",12.857645184136201,"Regular",0.127308434,"Soft Drinks",186.6924,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",7033.5112
"DRA59",8.27,"Regular",0.127821472,"Soft Drinks",185.9924,"OUT013",1987,"High","Tier 3","Supermarket Type1",555.2772
"DRA59",8.27,"Regular",0.128126825,"Soft Drinks",183.6924,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",1295.6468
"DRA59",8.27,"Regular",0.128449055,"Soft Drinks",186.5924,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",4442.2176
"DRA59",8.27,"Regular",0.214125129,"Soft Drinks",183.9924,"OUT010",1998,"Small","Tier 3","Grocery Store",185.0924
"DRA59",12.857645184136201,"Regular",0.223985293,"Soft Drinks",186.2924,"OUT019",1985,"Small","Tier 1","Grocery Store",555.2772
"DRB01",7.39,"Low Fat",0.082170947,"Soft Drinks",190.953,"OUT013",1987,"High","Tier 3","Supermarket Type1",2466.789
"DRB01",7.39,"Low Fat",0.082367244,"Soft Drinks",187.753,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",1518.024
"DRB13",6.115,"Regular",0.007043008,"Soft Drinks",190.353,"OUT035",2004,"Small","Tier 2","Supermarket Type1",569.259
"DRB13",6.115,"Regular",0.007055292,"Soft Drinks",188.653,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",3605.307
"DRB13",6.115,"Regular",0.007084185,"Soft Drinks",191.153,"OUT017",2007,"Small","Tier 2","Supermarket Type1",3415.554
"DRB13",6.115,"Regular",0.01179078,"Soft Drinks",189.053,"OUT010",1998,"Small","Tier 3","Grocery Store",948.765
"DRB24",8.785,"Low Fat",0.020573334,"Soft Drinks",156.4656,"OUT035",2004,"Small","Tier 2","Supermarket Type1",2162.5184
"DRB24",8.785,"Low Fat",0.020609218,"Soft Drinks",155.1656,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",4016.1056
"DRB24",8.785,"Low Fat",0.020618957,"Soft Drinks",153.0656,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",4170.5712
"DRB24",8.785,"Low Fat",0.020693619,"Soft Drinks",153.1656,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",1853.5872
"DRB25",12.857645184136201,"Low Fat",0.06912336,"Soft Drinks",106.0938,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",2787.0388
"DRB25",12.3,"Low Fat",0.069401919,"Soft Drinks",107.9938,"OUT013",1987,"High","Tier 3","Supermarket Type1",2036.6822
"DRB25",12.3,"Low Fat",0.069742672,"Soft Drinks",106.2938,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",1715.1008
"DRB25",12.3,"Low Fat",0.069852615,"Soft Drinks",107.4938,"OUT017",2007,"Small","Tier 2","Supermarket Type1",2358.2636
"DRB48",16.75,"Regular",0,"Soft Drinks",39.3822,"OUT046",1997,"Small","Tier 1","Supermarket Type1",353.5398
"DRB48",16.75,"Regular",0.024832806,"Soft Drinks",38.7822,"OUT013",1987,"High","Tier 3","Supermarket Type1",667.7974
"DRB48",16.75,"Regular",0.024892129,"Soft Drinks",37.8822,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",589.233
"DRC01",12.857645184136201,"Regular",0.019107027,"Soft Drinks",48.4692,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",1034.6532
"DRC01",5.92,"Regular",0.019184026,"Soft Drinks",50.3692,"OUT013",1987,"High","Tier 3","Supermarket Type1",591.2304
"DRC01",5.92,"Regular",0.019200003,"Soft Drinks",47.7692,"OUT046",1997,"Small","Tier 1","Supermarket Type1",492.692
"DRC01",5.92,"Regular",0.019238942,"Soft Drinks",49.8692,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",1133.1916
"DRC01",5.92,"Regular",0.019278216,"Soft Drinks",48.2692,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",443.4228
"DRC01",5.92,"Regular",0.019308607,"Soft Drinks",49.0692,"OUT017",2007,"Small","Tier 2","Supermarket Type1",1478.076
"DRC12",17.85,"Low Fat",0.03781972,"Soft Drinks",191.6188,"OUT035",2004,"Small","Tier 2","Supermarket Type1",2475.4444
"DRC12",17.85,"Low Fat",0.037826873,"Soft Drinks",189.7188,"OUT046",1997,"Small","Tier 1","Supermarket Type1",2285.0256
"DRC12",17.85,"Low Fat",0.037885683,"Soft Drinks",190.4188,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",952.094
"DRC12",17.85,"Low Fat",0.038040837,"Soft Drinks",189.1188,"OUT017",2007,"Small","Tier 2","Supermarket Type1",3237.1196
"DRC13",8.26,"Regular",0,"Soft Drinks",122.573,"OUT045",2002,"Small","Tier 2","Supermarket Type1",739.038
"DRC13",8.26,"Regular",0.032435437,"Soft Drinks",124.873,"OUT035",2004,"Small","Tier 2","Supermarket Type1",2956.152
"DRC13",8.26,"Regular",0.032625074,"Soft Drinks",124.673,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",1847.595
